Country,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,HDI_Category
Spain,83.67,17.83031082,10.75612495,46008.44221,0.918,Very High
Czechia,79.834,16.7935009,12.96318214,45889.01401,0.915,Very High
Italy,83.716,16.71419907,10.82812827,52388.88306,0.915,Very High
San Marino,85.706,14.59976717,11.35999966,64706.37558,0.915,Very High
Andorra,84.041,14.54279041,11.60999966,64631.0749,0.913,Very High
Cyprus,81.648,16.21559906,12.5573721,45394.15625,0.913,Very High
Greece,81.857,20.84550095,11.55385642,35760.74915,0.908,Very High
Poland,78.633,16.67827988,13.20854242,42217.63778,0.906,Very High
Estonia,79.153,15.96786022,13.56216597,40880.93044,0.905,Very High
Saudi Arabia,78.732,16.94943047,11.60642778,50298.91363,0.9,Very High
Bahrain,81.284,15.92718983,11.13000011,52818.79538,0.899,Very High
Lithuania,76.025,16.45467949,13.61069239,41916.46579,0.895,Very High
Portugal,82.36,17.48682022,9.703254412,41063.92568,0.89,Very High
Croatia,78.58,16.34815025,12.0951217,41379.89027,0.889,Very High
Latvia,76.19,16.48265076,13.40943983,37997.82233,0.889,Very High
Qatar,82.368,13.14116001,10.77000046,105353.268,0.886,Very High
Slovakia,78.341,14.94684982,13.10320397,36792.98874,0.88,Very High
Chile,81.167,16.91242027,11.29105394,28047.1698,0.878,Very High
Hungary,77.024,15.46940041,12.33162229,37236.07462,0.87,Very High
Argentina,77.395,18.83120918,11.18458184,25876.05307,0.865,Very High
Montenegro,77.087,15.53652954,12.77392572,28026.3304,0.862,Very High
Uruguay,78.138,17.4839592,10.53999996,28649.82199,0.862,Very High
Oman,80.031,13.43931961,11.89000034,36096.04123,0.858,Very High
Türkiye,77.156,19.8307991,8.98624366,34506.98065,0.853,Very High
Kuwait,80.405,15.90424029,7.566007112,56612.04699,0.852,Very High
Antigua and Barbuda,77.598,15.50299899,11.64750004,27386.51793,0.851,Very High
Seychelles,72.862,18.22489929,11.19995,29195.03792,0.848,Very High
Bulgaria,75.636,15.3166399,11.45453092,32174.93003,0.845,Very High
Romania,75.938,14.05288029,11.55000019,39374.25372,0.845,Very High
Georgia,74.496,16.75470924,12.69999981,20752.57009,0.844,Very High
